,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees,MOTE_PREV,MSOV_PREV,MLOV_PREV,MLQVAL_PREV,MOTE,MSOV,MLOV,MLQVAL,UNREALISED,TRD_RESULT_DIFF,Prev_Bal,Bal,TRD_RESULT,Final
187,ARB02129_USD,-49546.1,0.0,-1221.3,0.0,-2421.29,0.0,0.0,0.0,0.0,-3642.59,-63476.5,0.0,0.0,-12996.35,-14846.5,0.0,0.0,-17555.04,48630.0,-4558.690000000002,-12996.35,-17555.04,-4558.6900000000005,-1.8189894035458565e-12
188,ARB02132_USD,-66794.5,0.0,-133.95000000000002,0.0,-515.4399999999999,0.0,0.0,0.0,0.0,-649.39,-39733.0,0.0,0.0,-30170.73,-17125.0,0.0,0.0,-75006.62,22608.0,-44835.89,-30170.73,-75006.62,-44835.89,0.0
189,ARB02135_USD,-21533.75,0.0,-147.3,0.0,-444.00000000000006,0.0,0.0,0.0,0.0,-591.3000000000001,-336.0,0.0,0.0,-1531.27,-1812.5,0.0,0.0,-25132.82,-1476.5,-23601.55,-1531.27,-25132.82,-23601.55,0.0
190,ARB02136_USD,4188.5,0.0,-207.0,0.0,-770.08,0.0,0.0,0.0,0.0,-977.08,-12.5,0.0,0.0,11863.0,6.0,0.0,0.0,15092.92,18.5,3229.92,11863.0,15092.92,3229.92,0.0
191,ARB02145_USD,-496.5,0.0,-148.8,0.0,-555.52,0.0,0.0,0.0,0.0,-704.3199999999999,812.5,0.0,0.0,756.7,0.0,0.0,0.0,-1256.62,-812.5,-2013.32,756.7,-1256.62,-2013.32,0.0
192,ARB02147_USD,-3147.5,0.0,-1827.45,0.0,-3544.0299999999997,0.0,0.0,0.0,0.0,-5371.48,-36665.5,0.0,0.0,10917.26,17126.0,0.0,0.0,56189.78,53791.5,45272.520000000004,10917.26,56189.78,45272.52,7.275957614183426e-12
193,ARB02149_USD,5837.0,0.0,-223.5,0.0,-808.48,0.0,0.0,0.0,0.0,-1031.98,-76.0,0.0,0.0,678.78,0.0,0.0,0.0,5559.8,76.0,4881.02,678.78,5559.8,4881.02,0.0
194,ARB02152_USD,16770.0,0.0,-166.8,0.0,-646.26,0.0,0.0,0.0,0.0,-813.06,-880.0,0.0,0.0,-3523.68,-20150.0,0.0,0.0,-6836.74,-19270.0,-3313.0599999999995,-3523.68,-6836.74,-3313.06,4.547473508864641e-13
195,ARB02154_USD,-110722.5,0.0,-221.4,0.0,-755.76,0.0,0.0,0.0,0.0,-977.16,-81172.5,0.0,0.0,33504.94,-34110.0,0.0,0.0,-31132.22,47062.5,-64637.16,33504.94,-31132.22,-64637.16,0.0
196,ARB02156_USD,-112.5,0.0,-1.8,0.0,-6.72,0.0,0.0,0.0,0.0,-8.52,-262.5,0.0,0.0,-129.21,0.0,0.0,0.0,12.27,262.5,141.48000000000002,-129.21,12.27,141.48000000000002,0.0
197,ARB02158_USD,325.0,18723.75,-1319.85,0.0,-2656.2,0.0,0.0,0.0,0.0,-3976.0499999999997,0.0,-475937.5,493775.0,7722.87,0.0,-112537.5,118862.5,11283.07,-11512.5,3560.2000000000007,7722.87,11283.07,3560.2,9.094947017729282e-13
198,ARB02167_USD,-76668.5,0.0,-837.6,0.0,-1616.34,0.0,0.0,0.0,0.0,-2453.94,0.0,0.0,0.0,-227049.98,0.0,0.0,0.0,-306172.42,0.0,-79122.44,-227049.98,-306172.42,-79122.43999999997,-2.9103830456733704e-11
199,ARB02168_USD,-1850.0,0.0,-7.2,0.0,-24.479999999999997,0.0,0.0,0.0,0.0,-31.679999999999996,-1210.0,0.0,0.0,-2924.88,280.0,0.0,0.0,-3316.56,1490.0,-391.68000000000006,-2924.88,-3316.56,-391.67999999999984,-2.2737367544323206e-13
