,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
603,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00424_USD,,,,,36345.75,,,,,C00124,,,,
604,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00425_EUR,,,,0.0,,,,,,C00125,,,,
605,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00425_GBP,,,,,7390.0,,,,,C00125,,,,
606,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00425_USD,,,,,6245.5999999999985,,,,,C00125,,,,
607,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00426_EUR,,,,0.0,,,,,,C00426,,,,
608,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00426_GBP,,,,,2650.0,,,,,C00426,,,,
609,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00426_USD,,,,,14215.799999999988,,,,,C00426,,,,
610,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00432_EUR,,,,,6012.5,,,,,C00132,,,,
611,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00432_GBP,,,,875.0,,,,,,C00132,,,,
612,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00432_USD,,,,,760.0,,,,,C00132,,,,
613,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00435_EUR,,,,0.0,,,,,,C00135,,,,
614,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00435_GBP,,,,0.0,,,,,,C00135,,,,
615,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23300,ARB00435_USD,,,,,27311.2,,,,,C00135,,,,
616,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00442_USD,,,,2316.0,,,,,,C00124,,,,
617,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00443_USD,,,,2060.8,,,,,,C00125,,,,
618,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00446_EUR,,,,0.0,,,,,,C00146,,,,
619,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00446_GBP,,,,630.0,,,,,,C00146,,,,
620,,GJ,5/29/2026,,"Wedbush_Trading gain (loss), net_20260529",,,,40050,ATGN,D23020,ARB00446_USD,,,,1133.9999999999927,,,,,,C00146,,,,
