,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00493_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00493_CAD,,,,,6196.0,,,,,,,,,
ARB00493_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00493_EUR,,,,,42.15,,,,,,,,,
ARB00493_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00493_GBP,,,,240.82,,,,,,,,,,
ARB00493_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00493_USD,,,,16714.019999999997,,,,,,,,,,
ARB00494_CAD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00494_CAD,,,,,2566.0,,,,,,,,,
ARB00494_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00494_EUR,,,,,25.65,,,,,,,,,
ARB00494_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00494_GBP,,,,2675.4400000000005,,,,,,,,,,
ARB00494_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00494_USD,,,,15725.949999999997,,,,,,,,,,
ARB00503_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00503_EUR,,,,,6.0,,,,,,,,,
ARB00503_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00503_GBP,,,,,31.2,,,,,,,,,
ARB00503_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00503_USD,,,,5000.51,,,,,,,,,,
ARB00514_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00514_EUR,,,,,12.0,,,,,,,,,
ARB00514_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00514_GBP,,,,35.7,,,,,,,,,,
ARB00520_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00520_USD,,,,,59.0,,,,,,,,,
ARB00567_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00567_EUR,,,,,53.699999999999996,,,,,,,,,
ARB00567_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00567_GBP,,,,628.4,,,,,,,,,,
ARB00567_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00567_USD,,,,3658.869999999999,,,,,,,,,,
ARB00754_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00754_USD,,,,,28156.340000013188,,,,,,,,,
ARB00765_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB00765_USD,,,,13401.64,,,,,,,,,,
ARB01002_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01002_USD,,,,41055.57,,,,,,,,,,
ARB01057_MXN,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01057_MXN,,,,262430.0,,,,,,,,,,
ARB01057_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01057_USD,,,,,457323.38000000024,,,,,,,,,
ARB01063_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01063_USD,,,,,11501.86,,,,,,,,,
ARB01064_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01064_USD,,,,,13877.09,,,,,,,,,
ARB01065_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01065_USD,,,,13498.41,,,,,,,,,,
ARB01066_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01066_USD,,,,,1109.98,,,,,,,,,
ARB01067_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01067_USD,,,,1082.0,,,,,,,,,,
ARB01071_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01071_USD,,,,,3949.8399999999965,,,,,,,,,
ARB01073_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01073_USD,,,,,9253.790000000003,,,,,,,,,
ARB01076_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01076_USD,,,,,3136.8099999999986,,,,,,,,,
ARB01078_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01078_USD,,,,23296.96,,,,,,,,,,
ARB01092_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01092_USD,,,,15171.450000002675,,,,,,,,,,
ARB01100_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01100_USD,,,,,6826.719999999999,,,,,,,,,
ARB01117_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01117_USD,,,,,792.04,,,,,,,,,
ARB01129_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01129_USD,,,,,2657.9199999999983,,,,,,,,,
ARB01145_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01145_USD,,,,,23150.940000000002,,,,,,,,,
ARB01157_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01157_USD,,,,14479.55,,,,,,,,,,
ARB01158_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01158_USD,,,,184593.14,,,,,,,,,,
ARB01166_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01166_USD,,,,,10058.16,,,,,,,,,
ARB01172_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01172_USD,,,,,8809.42,,,,,,,,,
ARB01176_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01176_USD,,,,40300.1,,,,,,,,,,
ARB01177_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01177_USD,,,,,2368.05,,,,,,,,,
ARB01195_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01195_USD,,,,,2697.32,,,,,,,,,
ARB01357_CHF,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01357_CHF,,,,,2425.0,,,,,,,,,
ARB01357_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01357_EUR,,,,9215.900000023841,,,,,,,,,,
ARB01357_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01357_GBP,,,,,5651.91000000597,,,,,,,,,
ARB01357_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01357_USD,,,,305659.15,,,,,,,,,,
ARB01400_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01400_EUR,,,,,185.4,,,,,,,,,
ARB01400_GBP,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01400_GBP,,,,,964.0799999999999,,,,,,,,,
ARB01400_USD,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01400_USD,,,,6605.229999999997,,,,,,,,,,
ARB01417_EUR,,,,,"Wedbush_Trading gain (loss), net_20260525",,,,12100,,,ARB01417_EUR,,,,,95.39999999999999,,,,,,,,,
