Class_ID,COMMISSION
ARB03454_USD,-53.4
ARB03456_USD,-12.3
ARB03457_EUR,-44.400000000000006
ARB03457_USD,-75.9
ARB03459_EUR,-180.3
ARB03459_USD,-22.2
ARB03460_EUR,-7.5
ARB03460_USD,-1.8
ARB03468_USD,-7.5
ARB03474_EUR,-16.2
ARB03474_USD,-2.7
ARB03475_EUR,-105.9
ARB03475_USD,-47.1
ARB03476_EUR,-52.8
ARB03476_USD,-20.7
ARB03485_EUR,-36.6
ARB03485_USD,-63.0
ARB03489_EUR,-280.95
ARB03489_USD,-632.5500000000001
ARB03492_EUR,-104.7
ARB03492_USD,-536.7
ARB04021_USD,-487.8
ARB04023_USD,-20.4
ARB04024_USD,-18.45
ARB04029_USD,-11.399999999999999
ARB04031_USD,-18693.6
ARB04038_USD,-730.95
ARB04042_USD,-156.6
ARB04047_USD,-315.3
ARB04048_USD,-738.3000000000001
ARB04049_USD,-218.70000000000002
ARB04052_USD,-336.0
ARB04053_EUR,-12.99
ARB04053_USD,-12.75
ARB04054_USD,-35.4
ARB04055_USD,-193.8
ARB04057_USD,-469.79999999999995
ARB04059_USD,-414.75
ARB04062_USD,0.0
ARB04065_USD,-443.24999999999994
ARB04066_USD,-261.75
ARB04067_USD,-176.7
ARB04068_USD,-677.55
ARB04069_USD,-247.5
ARB04070_USD,-115.94999999999999
ARB04073_USD,-26.4
ARB04074_USD,-81.15
ARB04075_USD,-15.15
ARB04077_USD,-2.1
ARB04078_USD,-7.8
ARB04079_USD,-2.1
ARB04080_USD,-1693.65
ARB04081_USD,-215.70000000000002
ARB04082_USD,-72.6
ARB04083_USD,-9.9
ARB04085_USD,-66.3
ARB04086_USD,-9594.0
ARB04087_USD,-2917.0499999999997
ARB04088_USD,-27.0
ARB04091_USD,-54.6
ARB04092_USD,-17.7
ARB04101_USD,-30.0
ARB04102_USD,-211.35
ARB04103_USD,-675.0
ARB04104_USD,-414.15000000000003
ARB04105_USD,-560.7
ARB04106_USD,-797.1
ARB04108_USD,-2764.7999999999997
ARB04110_USD,-85.8
ARB04111_USD,-1307.55
ARB04112_USD,-156.60000000000002
ARB04113_USD,-234.6
ARB04114_USD,-1147.65
ARB04115_USD,-14.399999999999999
ARB04116_USD,-778.2
ARB04117_USD,-208.5
ARB04118_USD,-95.7
