,Class_ID,PL_TOTAL,OPT_PREMIUM,COMMISSION,CLEARING_FEE,EXCHANG_EFE,BROKERAGE_FEE,GIVEUP_FEE,FLR_FEE,WIR_FEE,Total_Fees
112,ARB01063_USD,41253.54,0.0,-858.9,0.0,-2031.9400000000003,0.0,0.0,0.0,0.0,-2890.84
113,ARB01064_USD,100745.6799999997,0.0,-245.85,0.0,-472.85999999999996,0.0,0.0,0.0,0.0,-718.7099999999999
114,ARB01065_USD,1320.1000000000004,0.0,-125.4,0.0,-114.46000000000001,0.0,0.0,0.0,0.0,-239.86
115,ARB01066_USD,1230.84,0.0,-70.5,0.0,-89.28,0.0,0.0,0.0,0.0,-159.78
116,ARB01067_USD,-110.0,0.0,-2.4,0.0,-12.2,0.0,0.0,0.0,0.0,-14.6
117,ARB01071_USD,65160.6,0.0,-222.6,0.0,-891.8,0.0,0.0,0.0,0.0,-1114.3999999999999
118,ARB01073_JPY,530000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,ARB01073_USD,-5903.54,0.0,-529.05,0.0,-1571.21,0.0,0.0,0.0,0.0,-2100.26
120,ARB01076_JPY,92500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,ARB01076_USD,6508.81,0.0,-567.45,0.0,-1473.25,0.0,0.0,0.0,0.0,-2040.7
122,ARB01078_USD,942.0,0.0,-503.4,0.0,-1164.6000000000001,0.0,0.0,0.0,0.0,-1668.0
123,ARB01092_JPY,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,ARB01092_USD,60669.32000000015,0.0,-3716.7,0.0,-7928.5599999999995,0.0,0.0,-10.4,0.0,-11655.659999999998
125,ARB01100_USD,-17290.0,0.0,-16.8,0.0,-57.12,0.0,0.0,0.0,0.0,-73.92
126,ARB01117_USD,687.5,0.0,-2.25,0.0,-8.399999999999999,0.0,0.0,0.0,0.0,-10.649999999999999
127,ARB01145_USD,-22525.57,0.0,-2230.2,0.0,-3290.9400000000005,0.0,0.0,0.0,0.0,-5521.14
128,ARB01157_USD,-24357.0,0.0,-380.1,0.0,-1419.04,0.0,0.0,0.0,0.0,-1799.1399999999999
129,ARB01158_USD,-22586.699999999997,-4468.75,-4992.0,0.0,-12116.36,0.0,0.0,0.0,0.0,-17108.36
130,ARB01166_USD,-3747.5,0.0,-143.55,0.0,-561.52,0.0,0.0,0.0,0.0,-705.0699999999999
131,ARB01172_USD,-6637.5,0.0,-157.5,0.0,-344.82,0.0,0.0,0.0,0.0,-502.32
132,ARB01176_USD,-91434.5,0.0,-410.7,0.0,-1533.28,0.0,0.0,0.0,0.0,-1943.98
133,ARB01177_USD,0.0,47.5,-3.0,0.0,-7.2,0.0,0.0,0.0,0.0,-10.2
134,ARB01357_CHF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,ARB01357_EUR,0.0,0.0,-2623.3500000000004,-6104.64,-1526.16,0.0,0.0,0.0,0.0,-10254.150000000001
136,ARB01357_GBP,-5432.5,0.0,0.0,-1965.37,-555.43,0.0,0.0,0.0,0.0,-2520.7999999999997
137,ARB01357_USD,0.0,0.0,-1440.3,0.0,-9602.0,0.0,0.0,0.0,0.0,-11042.3
138,ARB01400_EUR,0.0,0.0,-49.8,0.0,0.0,0.0,0.0,0.0,0.0,-49.8
139,ARB01400_GBP,0.0,0.0,0.0,-182.6,-76.36,0.0,0.0,0.0,0.0,-258.96
140,ARB01400_USD,-56360.0,0.0,-220.20000000000002,-93.6,-2798.8799999999997,0.0,0.0,0.0,0.0,-3112.68
141,ARB01417_EUR,0.0,0.0,-93.6,0.0,0.0,0.0,0.0,0.0,0.0,-93.6
142,ARB01417_GBP,-80.0,0.0,0.0,-343.20000000000005,-143.68,0.0,0.0,0.0,0.0,-486.88000000000005
143,ARB01417_USD,13001.400000000001,0.0,-830.85,-990.0,-8628.9,0.0,0.0,0.0,0.0,-10449.75
144,ARB01445_EUR,9337.5,0.0,-280.2,0.0,0.0,0.0,0.0,0.0,0.0,-280.2
145,ARB01445_GBP,-16487.5,0.0,0.0,-530.4000000000001,-171.84,0.0,0.0,0.0,0.0,-702.2400000000001
146,ARB01457_CAD,-12284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,ARB01457_USD,2385.0,0.0,-142.5,-36.0,-1163.3,0.0,0.0,0.0,0.0,-1341.8
148,ARB01458_CAD,-33800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,ARB01458_USD,28995.0,0.0,-495.15,-1456.1999999999998,-1572.4599999999998,0.0,0.0,0.0,0.0,-3523.8099999999995
150,ARB01466_CAD,-134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,ARB01466_USD,20.0,0.0,-23.400000000000002,0.0,-137.6,0.0,0.0,0.0,0.0,-161.0
152,ARB01472_USD,0.0,0.0,-1.5,0.0,-21.0,0.0,0.0,0.0,0.0,-22.5
153,ARB01476_USD,14520.0,0.0,-20.55,0.0,-287.7,0.0,0.0,0.0,0.0,-308.25
154,ARB01602_USD,-87.5,0.0,-0.6,0.0,-1.36,0.0,0.0,0.0,0.0,-1.96
155,ARB02012_USD,-93145.0,179678.0,-1803.8999999999999,0.0,-4460.76,0.0,0.0,0.0,0.0,-6264.66
156,ARB02040_USD,3218.7,0.0,-11.7,0.0,-18.72,0.0,0.0,0.0,0.0,-30.419999999999998
157,ARB02043_USD,553288.2,0.0,-802.5,0.0,-2094.96,0.0,0.0,0.0,0.0,-2897.46
158,ARB02044_USD,75593.99,0.0,-540.3000000000001,0.0,-864.48,0.0,0.0,0.0,0.0,-1404.7800000000002
159,ARB02045_USD,203.15,0.0,-4.2,0.0,-6.72,0.0,0.0,0.0,0.0,-10.92
160,ARB02047_USD,-110715.5,0.0,-242.70000000000002,0.0,-469.22,0.0,0.0,0.0,0.0,-711.9200000000001
161,ARB02052_USD,42822.75,0.0,-38.4,0.0,-30.720000000000002,0.0,0.0,0.0,0.0,-69.12
162,ARB02055_USD,-2060.5,760.0,-142.65,0.0,-368.68,0.0,0.0,0.0,0.0,-511.33000000000004
163,ARB02076_USD,19586.54,0.0,-2465.7,0.0,-4902.34,0.0,0.0,0.0,0.0,-7368.04
164,ARB02102_USD,14917.5,0.0,-297.0,0.0,-1010.6,0.0,0.0,0.0,0.0,-1307.6
165,ARB02103_USD,0.0,-112527.5,-319.05,0.0,-1249.6399999999999,0.0,0.0,0.0,0.0,-1568.6899999999998
166,ARB02116_USD,-89455.25,0.0,-123.3,0.0,-447.08000000000004,0.0,0.0,0.0,0.0,-570.38
167,ARB02118_USD,3270.0,0.0,-80.85,0.0,-301.84,0.0,0.0,0.0,0.0,-382.68999999999994
168,ARB02121_USD,-1556.25,0.0,-86.1,0.0,-109.06,0.0,0.0,0.0,0.0,-195.16
169,ARB02129_USD,-15135.0,0.0,-516.75,0.0,-1023.53,0.0,0.0,0.0,0.0,-1540.28
170,ARB02132_USD,-63852.5,0.0,-30.15,0.0,-93.36,0.0,0.0,0.0,0.0,-123.50999999999999
171,ARB02135_USD,-7838.5,0.0,-127.35,0.0,-197.04000000000002,0.0,0.0,0.0,0.0,-324.39
172,ARB02136_USD,1005.0,0.0,-95.4,0.0,-356.16,0.0,0.0,0.0,0.0,-451.56000000000006
173,ARB02145_USD,-2000.0,0.0,-150.0,0.0,-560.0,0.0,0.0,0.0,0.0,-710.0
174,ARB02147_USD,92619.5,0.0,-1192.2,0.0,-2304.92,0.0,0.0,0.0,0.0,-3497.12
175,ARB02149_USD,-2363.5,0.0,-70.2,0.0,-250.56,0.0,0.0,0.0,0.0,-320.76
176,ARB02152_USD,-11132.5,0.0,-30.299999999999997,0.0,-107.66,0.0,0.0,0.0,0.0,-137.95999999999998
177,ARB02154_USD,4290.0,0.0,-171.9,0.0,-588.46,0.0,0.0,0.0,0.0,-760.36
178,ARB02158_USD,-200.0,-6250.0,-516.75,0.0,-918.28,0.0,0.0,0.0,0.0,-1435.03
179,ARB02167_USD,244550.0,0.0,-410.4,0.0,-830.0,0.0,0.0,0.0,0.0,-1240.4
180,ARB02168_USD,1110.0,0.0,-4.8,0.0,-16.32,0.0,0.0,0.0,0.0,-21.12
181,ARB02173_USD,7069.5,62860.0,-430.8,0.0,-1025.42,0.0,0.0,0.0,0.0,-1456.22
182,ARB02176_USD,-383252.5,0.0,-977.6999999999999,0.0,-4523.58,0.0,0.0,0.0,0.0,-5501.28
183,ARB02177_USD,13751.5,0.0,-597.75,0.0,-1155.65,0.0,0.0,0.0,0.0,-1753.4
184,ARB02179_USD,-7633.5,0.0,-2359.8,0.0,-5025.04,0.0,0.0,0.0,0.0,-7384.84
185,ARB02180_USD,64424.5,0.0,-917.7,0.0,-1774.22,0.0,0.0,0.0,0.0,-2691.92
186,ARB02181_USD,105562.5,0.0,-2328.4500000000003,0.0,-4501.67,0.0,0.0,0.0,0.0,-6830.120000000001
187,ARB02182_USD,6133.0,0.0,-641.4,0.0,-1214.0,0.0,0.0,0.0,0.0,-1855.4
188,ARB02183_USD,154436.0,0.0,-2159.55,0.0,-8158.32,0.0,0.0,0.0,0.0,-10317.869999999999
189,ARB02184_USD,-4015.5,0.0,-4915.8,0.0,-9503.880000000001,0.0,0.0,0.0,0.0,-14419.68
190,ARB02185_USD,-340.5,0.0,-38.4,0.0,-143.35999999999999,0.0,0.0,0.0,0.0,-181.76
191,ARB02187_USD,-255.0,0.0,-76.95,0.0,-93.24000000000001,0.0,0.0,0.0,0.0,-170.19
192,ARB02188_USD,2250.0,0.0,-16.8,0.0,-84.0,0.0,0.0,0.0,0.0,-100.8
193,ARB02190_USD,34945.0,0.0,-57.0,0.0,-110.2,0.0,0.0,0.0,0.0,-167.2
194,ARB02191_USD,-299.09000000000003,0.0,-34.5,0.0,-21.4,0.0,0.0,0.0,0.0,-55.9
195,ARB02196_USD,498.0,0.0,-0.6,0.0,-2.24,0.0,0.0,0.0,0.0,-2.8400000000000003
196,ARB02342_EUR,0.0,0.0,-17.1,0.0,0.0,0.0,0.0,0.0,0.0,-17.1
197,ARB02342_GBP,580.0,0.0,0.0,-33.06,-12.54,0.0,0.0,0.0,0.0,-45.6
198,ARB02343_EUR,-32830.0,0.0,-176.04000000000002,0.0,-178.4,0.0,0.0,0.0,0.0,-354.44000000000005
199,ARB02343_GBP,7235.0,0.0,0.0,-151.8,-78.2,0.0,0.0,0.0,0.0,-230.0
